,vol_quote
BTCUSDT,2281914.783964181
ETHUSDT,882571.7844433388
SLPUSDT,30988.79251661176
CAKEUSDT,9113.616535132613
VOXELUSDT,7404.839564039681
BETAUSDT,6985.240573302149
PYRUSDT,6766.0290629539395
VGXUSDT,6715.921799667335
QNTUSDT,6197.753031488434
INJUSDT,5990.824107468516
FXSUSDT,5764.174985237832
OOKIUSDT,5321.613254008471
COCOSUSDT,4903.170076867241
HIGHUSDT,4874.599835028613
FETUSDT,4658.139754847824
PHAUSDT,4492.840765764338
CTXCUSDT,4087.5338585110253
VIDTUSDT,3886.939255464676
FIDAUSDT,3751.1948930320004
AMPUSDT,3693.302901368713
CVXUSDT,3412.2402147784956
COSUSDT,3069.009398788249
PERPUSDT,3068.4648360175693
MDXUSDT,3010.9921229364445
STXUSDT,2655.512238584909
TVKUSDT,2597.0974296121644
TKOUSDT,2187.4475617559738
AUTOUSDT,2137.8724259133237
FISUSDT,1865.766695870374
WANUSDT,1536.5143992428018
